Class,C,M,Strain rate,P,Q
DS10,2.121226,1.836486,30,0.11888295,1.45169205
DS10,2.121226,1.836486,35,0.21259421,1.38969635
PD1,2.833953,1.697086,30,0.24946014,1.60905405
PD1,2.833953,1.697086,35,0.49872366,1.39592733
PD05,2.074110,1.569432,30,0.27591307,1.3599706
PD05,2.074110,1.569432,35,0.52027245,1.1762142
DS30,1.530849,1.578501,30,0.41080039,1.23130286
DS30,1.530849,1.578501,35,0.54215898,1.20574809
EF50,2.815642,1.966654,30,0.10253265,1.54447866
EF50,2.815642,1.966654,35,0.11179127,1.64165745
F,0.680168,1.381599,30,0.22462596,0.97265433
F,0.680168,1.381599,35,0.24133858,1.02481373